Topic,Count,Name,Representation,Representative_Docs,topic_id,generated_name
19,31,19_numbers_100_1000_ta,"['numbers', '100', '1000', 'ta', 'deplatformings', 'gaping', '995', '91000', 'x4', 'tenable', 'number', 'overestimating', 'champ', '83', '1300', 'gah', 'agree', 'thirty', 'gutter', '88']","['got ta get numbers feeling nervous', 'got ta cautious less half decent numbers far', 'oh numbers']",19,"""Social Media Metrics"""
20,31,20_puerto_rico_ricans_garbage,"['puerto', 'rico', 'ricans', 'garbage', 'island', 'rican', 'trump', 'hurricane', 'maria', 'madison', 'rally', 'garden', 'square', 'mainland', 'florida', 'floating', 'haitian', 'trumps', 'way', 'backlash']","['bad bunny puerto rican rapper singer international pop phenomenon stepped condemnation disparaging remarks puerto rico made rally donald trump madison square garden new instagram post tuesday nytims3c1kz0z', 'idiot suggested trumps campaign use comic talked puerto rico garbage', 'fox puerto rican group pennsylvania undecided firmly voting kamala harris trump speaker called puerto rico garbage trump supporters even switching harris trumps lack rebuke']",20,"""Puerto Rico Recovery"""
21,31,21_sign_signs_scorpio_flags,"['sign', 'signs', 'scorpio', 'flags', 'gemini', 'horoscopes', 'capricorn', 'astrology', 'leo', 'trump', 'relatively', 'someone', 'truck', 'virginia', 'signed', 'southern', 'good', 'swear', 'flag', 'drive']","['yes leo also leo rising makes sense understand much much center attention capricorn keeps grounded fire signs need earth signs lol crazy', 'southern missouri trump signs lots restoring reproductive freedom southern illinois relatively trump signs smattering harris signs many large trump signs disturbing handful literal shrines trump', 'sign']",21,"""Astrology and Horoscopes"""
22,29,22_halloween_happy_holiday_decorations,"['halloween', 'happy', 'holiday', 'decorations', 'costumes', 'culture', 'late', 'racketmncomthetruckwi', 'donned', 'asda', 'reenactments', 'nailart', 'habby', 'likeoh', 'orca', 'kmart', 'shamrock', 'papiermch', 'nontraditional', '161bklynbskysocial']","['happy halloween', 'happy halloween', 'happy halloween']",22,"""Halloween Celebrations"""
23,26,23_christmas_holiday_santas_shingles,"['christmas', 'holiday', 'santas', 'shingles', 'year', 'thanksgiving', 'eve', 'santa', 'december', 'king', 'waiting', 'worked', 'nakatomi', 'oohhh', 'rudolphs', 'brighten', 'extenuating', 'halfnaked', 'lahren', 'coles']","['weird thanksgiving late year sort america christmas starts december 1st', 'something exciting coming invitations fresh press years together christmas carol service returning westminster abbey friday december wait join us tune itv itvx christmas eve', 'christmas miracle']",23,"""Christmas Celebrations"""
24,26,24_photo_photos_photography_picture,"['photo', 'photos', 'photography', 'picture', 'invite', 'night', 'pictures', 'image', 'gentrifiercoded', 'glitching', 'flickrp2qww8sb', 'cropping', 'hydroelectric', 'lespace', 'grantmeaccessbskysocial', 'forumastrocolibrisciencetastrocoli', 'afterimage', 'ciel', 'rencontres', 'stationary']","['much frame photo consistently course isnt perfect truly stationary features photoshop pretty easy time alignment took figure', 'photographed objects last night night goal improve image doubling exposure time heres witch head nebula astronomy astrophotography', 'weve posted recap amazing experience rencontres du ciel et de lespace event paris check highlights photos forum forumastrocolibrisciencetastrocoli']",24,"""Nighttime Photography"""
25,26,25_age_years_old_patti,"['age', 'years', 'old', 'patti', '80', 'asriel', 'year', 'jennifer', 'retirement', '30', 'pants', 'patience', 'retired', '19', 'younger', 'lol', 'repost', 'man', 'joke', '74yearold']","['elodie guillerm guillermelodie twitter liz truss thinks put retirement age 80 repost work lettuce farm 80', 'gets skin stays best way patti genius love version wdc years older canadian cousin patti introduced patti 13 years old followed 50 years thank sharing', 'real age years younger chronological age much']",25,"""Age and Retirement"""
26,25,26_thanksgiving_happy_thankful_spend,"['thanksgiving', 'happy', 'thankful', 'spend', 'grateful', 'canadian', 'native', 'indigenous', 'family', 'refuse', 'appreciate', 'members', 'bowery', 'irmaspikeymamabskysocial', 'kenya', 'honeybeekwenbskysocial', 'thanksgivings', 'wwwesquirecomnewspolitic', 'wwwmcsweeneysnetarticlesthe', 'wampanoag']","['happy thanksgiving man', 'happy thanksgiving day', 'happy thanksgiving']",26,"""Thanksgiving and Gratitude"""
27,24,27_naomi_flav_flavor_lady,"['naomi', 'flav', 'flavor', 'lady', 'ya', 'great', 'break', 'finalists', 'bagwell', 'badra', 'barrera', 'lass', 'joaquin', 'indierock', 'macfarlane', 'stu', 'zo', 'ripley', 'maha', 'mormon']","['cuz ya get like ya get spell flavor flav', 'think flavor flav hired pr team buff bagwell', 'desperately want amanda bynes surprise appearance snl revive courtney character reject rfk jrs maha vibes']",27,"""Reality TV Competitions"""
28,23,28_veterans_day_war_armistice,"['veterans', 'day', 'war', 'armistice', 'served', 'us', 'remembrance', 'commemorate', 'ceremony', 'canada', 'va', 'military', 'sacrifice', 'today', 'korea', 'first', 'nations', 'happy', 'canadian', 'ago']","['indigenous veterans day despite able even vote thousands first nations served canada world wars korea 20th century lets explore veterans put lives line canada 120', 'happy veterans day know come army family lot immediate family served including mother veterans', 'used work veterans every day get community care medical appointments outside va job tell trump wants fuck trans veterans cause already kinda fucked veterans period shell game']",28,"""Veterans Remembrance Events"""
29,21,29_post_posting_hole_points,"['post', 'posting', 'hole', 'points', 'character', 'point', 'openvibe', 'infinitum', 'postponing', 'wiki', 'pointer', 'answer', 'frowned', 'snuff', 'literally', 'shitposting', 'selective', '800', 'poses', 'make']","['post want', 'posting hole matter', '800 word post necessarily selective answer say misses points even addressed points would missed points ad infinitum']",29,"""Social Media Dynamics"""
30,21,30_hacker_ya_access_connected,"['hacker', 'ya', 'access', 'connected', 'gaetz', 'malware', 'unidentified', 'hacked', 'damaging', 'internet', 'hack', 'testimony', 'clients', 'gained', 'link', 'file', 'dm', 'lawyers', 'secure', 'shared']","['important announcement make days dragged 2025 scammers pretenders spies even dm ya prep ya like dumb turkey askin ya personal particulars like whatsapps number obliged blocked immediately real activists like dm ya', 'unidentified hacker reportedly gained access computer file shared secure link among lawyers whose clients given damaging testimony related matt gaetz', 'unidentified hacker gained access file shared secure link among lawyers clients given damaging testimony related matt gaetz presidentelect donald trumps choice attorney general person knowledge activity said']",30,"""Cybersecurity and Hacking"""
31,21,31_resist_resistance_resisters_bluewavesurferbskysocial,"['resist', 'resistance', 'resisters', 'bluewavesurferbskysocial', 'force', 'ahead', 'resistersunite', 'skippjon1bskysocial', 'barbjordanazbskysocial', 'autogolpe', 'choosethebearbskysocial', 'fi', 'disallusionedbskysocial', 'kristinalmbskysocial', 'jenniferisbluebskysocial', 'confettimotherbskysocial', 'boopening', 'allthank', 'jerrywinsettbskysocial', 'jimwatson9bskysocial']","['first read tyranny general principles resistance join groups network others resisters use resist hashtag keep informed stuff indivisible going back action idk sos america good last time', 'resist', 'resist']",31,"""Political Resistance Movement"""
32,20,32_video_videos_dms_hyperfixation,"['video', 'videos', 'dms', 'hyperfixation', 'format', 'version', 'gymcels', 'youtubecomshorts0szne', 'wwwyoutubecomwatchvflas', 'viewonly', 'tldrawcom', 'ntsc', 'linktreelittlemissvrb', 'chinesemade', 'foldablehumanbskysocial', 'wwwtldrawcomvv6ac7v', 'vids', 'weeks', 'intuitive', 'skateboard']","['sure videos vibe want daily politics news one minute video format find linktreelittlemissvrb', 'video version', 'time solid selection hell didnt even video dms year ago look us video dms video dms coming soon porn happening']",32,"""Fitness Video Trends"""
