,link,gpt4_civic_label,gpt4_political_label,llama3-8b_civic_label,llama3-8b_political_label,llama3-70b_civic_label,llama3-70b_political_label,all_llms_agree_civic,llama_models_agree_civic,all_llms_agree_political_ideology,llama_models_agree_political_ideology
17,https://bsky.app/profile/mwosam.bsky.social/post/3knjjjvjgmx2m,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
18,https://bsky.app/profile/sararoseg.bsky.social/post/3knloepgvdk2f,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
19,https://bsky.app/profile/breelundberg.com/post/3kngwl2iigl2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
20,https://bsky.app/profile/jbouie.bsky.social/post/3knovykscwk2i,civic,right-leaning,civic,moderate,civic,moderate,True,True,False,True
21,https://bsky.app/profile/markharris.bsky.social/post/3knjbkoqy3r2x,civic,left-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
22,https://bsky.app/profile/gonebabygone.bsky.social/post/3knj3lcnwsk2y,civic,unclear,civic,unclear,civic,left-leaning,True,True,False,False
23,https://bsky.app/profile/eladn.bsky.social/post/3knrbd6hnj42v,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
24,https://bsky.app/profile/jbouie.bsky.social/post/3knqxnk2ils2i,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
25,https://bsky.app/profile/fleerultra.bsky.social/post/3knofganxyk2z,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
26,https://bsky.app/profile/juliadoubleday.bsky.social/post/3knhlxhbewv2k,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
27,https://bsky.app/profile/normative.bsky.social/post/3knm3cftdos2r,civic,unclear,civic,left-leaning,civic,moderate,True,True,False,False
28,https://bsky.app/profile/joshuafoust.com/post/3knmafln2q42k,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
29,https://bsky.app/profile/notalawyer.bsky.social/post/3knhajqkgv22z,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
30,https://bsky.app/profile/chriswarcraft.bsky.social/post/3knrdpdp7xd2b,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
31,https://bsky.app/profile/nickkodama.bsky.social/post/3knlovhpnuk2b,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
32,https://bsky.app/profile/internethippo.bsky.social/post/3knrrzek5h42v,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
33,https://bsky.app/profile/knilirabaj.bsky.social/post/3knilna5ius2f,civic,unclear,civic,left-leaning,civic,left-leaning,True,True,False,True
34,https://bsky.app/profile/emily.gorcen.ski/post/3kngrwzy7uv2k,civic,left-leaning,civic,right-leaning,civic,right-leaning,True,True,False,True
35,https://bsky.app/profile/paleofuture.bsky.social/post/3knf43s66bk2n,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
36,https://bsky.app/profile/sararoseg.bsky.social/post/3knlnrllvyk2k,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
37,https://bsky.app/profile/kenwhite.bsky.social/post/3knri26gx5k25,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
38,https://bsky.app/profile/safety.bsky.app/post/3knjj6y6yoi2i,not civic,unclear,civic,right-leaning,civic,unclear,False,True,False,False
39,https://bsky.app/profile/spavel.bsky.social/post/3knjycv45ik2a,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
40,https://bsky.app/profile/lordbusinessman.bsky.social/post/3kngffmjlss2n,not civic,unclear,civic,right-leaning,civic,right-leaning,False,True,False,True
41,https://bsky.app/profile/kashana.bsky.social/post/3knlxntshtk2h,civic,unclear,not civic,unclear,not civic,unclear,False,True,True,True
42,https://bsky.app/profile/ovna.dev/post/3knef6wfc4l2d,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
43,https://bsky.app/profile/evangreer.bsky.social/post/3knk45rdb722i,civic,left-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
44,https://bsky.app/profile/vpsreports.bsky.social/post/3knpgffqs6k2a,civic,left-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
45,https://bsky.app/profile/edithcharles.bsky.social/post/3knppw6m6ym2b,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
46,https://bsky.app/profile/kilgoretrout.bsky.social/post/3knjfwno4dy2l,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
47,https://bsky.app/profile/jrbolt.bsky.social/post/3knkfjwpchs22,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
48,https://bsky.app/profile/thielman.bsky.social/post/3knevenneex2b,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
49,https://bsky.app/profile/theradr.bsky.social/post/3knk7aq4twk24,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
50,https://bsky.app/profile/rhi.bsky.social/post/3kninwdz6ef2d,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
51,https://bsky.app/profile/chantalalive.bsky.social/post/3knr4vrmebc2h,civic,left-leaning,civic,unclear,not civic,unclear,False,False,False,True
52,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knlu4j5v7s2s,not civic,unclear,civic,right-leaning,civic,moderate,False,True,False,False
53,https://bsky.app/profile/amalasrosa.bsky.social/post/3knjeufeiyu2m,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
54,https://bsky.app/profile/kenklippenstein.bsky.social/post/3knt74lknoi2y,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
55,https://bsky.app/profile/profmusgrave.bsky.social/post/3kngl45twie23,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
56,https://bsky.app/profile/rbreich.bsky.social/post/3kntuqzkjq22f,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
57,https://bsky.app/profile/johnrogers.bsky.social/post/3knqkvrpipc2y,civic,left-leaning,civic,unclear,civic,unclear,True,True,False,True
58,https://bsky.app/profile/martian-observer.art/post/3knqeo5m6q62v,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
59,https://bsky.app/profile/markwaid.bsky.social/post/3knowtron3322,civic,unclear,civic,left-leaning,civic,left-leaning,True,True,False,True
60,https://bsky.app/profile/boner.ink/post/3knorjh36a525,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
61,https://bsky.app/profile/kellybarnhill.bsky.social/post/3knljdq4r6m2k,civic,left-leaning,civic,right-leaning,not civic,unclear,False,False,False,False
62,https://bsky.app/profile/carlbergstrom.com/post/3knqlji4zgl2d,civic,unclear,not civic,unclear,civic,unclear,False,False,True,True
63,https://bsky.app/profile/dell.bsky.social/post/3knhruxvhn32x,not civic,unclear,civic,right-leaning,not civic,unclear,False,False,False,False
64,https://bsky.app/profile/planet4589.bsky.social/post/3knkdm737is2l,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
65,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn7cloxu2w,civic,right-leaning,civic,unclear,civic,left-leaning,True,True,False,False
66,https://bsky.app/profile/scottsantens.com/post/3knqkh2es7k2i,civic,left-leaning,civic,unclear,not civic,unclear,False,False,False,True
67,https://bsky.app/profile/newamauta.bsky.social/post/3knrn5ary4c2t,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
68,https://bsky.app/profile/mtsw.bsky.social/post/3knotbzuddk2p,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
69,https://bsky.app/profile/alishagrauso.bsky.social/post/3kndutirhrd2z,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
70,https://bsky.app/profile/rzhongnotes.bsky.social/post/3knfdpymu3x2b,not civic,unclear,not civic,unclear,civic,left-leaning,False,False,False,False
71,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3kntar6c6ps2o,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
72,https://bsky.app/profile/secretaboutbox.bsky.social/post/3knlqwt2l322n,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
73,https://bsky.app/profile/adamcsharp.bsky.social/post/3kndmavqtkt2s,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
74,https://bsky.app/profile/catsofyore.bsky.social/post/3knrc7vc6gx2c,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
75,https://bsky.app/profile/rincewind.run/post/3knly7zt6322w,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
76,https://bsky.app/profile/chadloder.bsky.social/post/3knmjanu2u22u,civic,right-leaning,not civic,unclear,not civic,unclear,False,True,False,True
77,https://bsky.app/profile/mtsw.bsky.social/post/3knsa4bv3wg26,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
78,https://bsky.app/profile/catsofyore.bsky.social/post/3knk2bgm5ms2i,not civic,unclear,civic,right-leaning,civic,left-leaning,False,True,False,False
79,https://bsky.app/profile/dell.bsky.social/post/3knkpereuc22a,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
80,https://bsky.app/profile/mommunism.bsky.social/post/3kneg3vwgzl2p,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
81,https://bsky.app/profile/leer.bsky.social/post/3knh3k7kgg22p,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
82,https://bsky.app/profile/murshedz.bsky.social/post/3kno66rxcbf2e,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
83,https://bsky.app/profile/seriousfreudoffice.bsky.social/post/3kntotf4qi42k,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
84,https://bsky.app/profile/ryanlcooper.com/post/3ko2hoexa322o,civic,left-leaning,civic,unclear,not civic,unclear,False,False,False,True
85,https://bsky.app/profile/ryanlcooper.com/post/3knrp4bjslk2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
86,https://bsky.app/profile/scottsantens.com/post/3knsupwoqyk2y,civic,left-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
87,https://bsky.app/profile/joshuaphill.bsky.social/post/3kndwmoo3c22a,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
88,https://bsky.app/profile/kashana.bsky.social/post/3knlke7yvz222,civic,left-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
89,https://bsky.app/profile/chadloder.bsky.social/post/3kneut55qut2v,civic,left-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
90,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knj75qu6vn2y,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
91,https://bsky.app/profile/jbouie.bsky.social/post/3kniqsm2hz622,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
92,https://bsky.app/profile/markharris.bsky.social/post/3knewm3dsrd2t,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
93,https://bsky.app/profile/zitron.bsky.social/post/3knecwbxjds24,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
94,https://bsky.app/profile/mikedrucker.bsky.social/post/3knixnbl6x62i,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
95,https://bsky.app/profile/astrokatie.com/post/3knf6gss7h22h,not civic,unclear,not civic,unclear,civic,left-leaning,False,False,False,False
96,https://bsky.app/profile/quinnae.com/post/3knmlpr4qdk2u,not civic,unclear,civic,unclear,not civic,unclear,False,False,True,True
97,https://bsky.app/profile/iboudreau.bsky.social/post/3knmd2kwl6s27,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
98,https://bsky.app/profile/erictopol.bsky.social/post/3knjvwdcmps2v,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
99,https://bsky.app/profile/rbreich.bsky.social/post/3knu26jrbls2s,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
100,https://bsky.app/profile/oregonzoo.bsky.social/post/3kngw3mk7o42y,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
101,https://bsky.app/profile/coachfinstock.bsky.social/post/3knjri3xoj42x,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
102,https://bsky.app/profile/bigbigtruck.bsky.social/post/3knr46thgtc2f,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
103,https://bsky.app/profile/knilirabaj.bsky.social/post/3knlh2nv2rx2q,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
104,https://bsky.app/profile/ernekid.bsky.social/post/3knrpatsqms2q,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
105,https://bsky.app/profile/kekeflipnote.bsky.social/post/3knvbpok3x72z,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
106,https://bsky.app/profile/jeffgerstmann.com/post/3knrw4snwu22x,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
107,https://bsky.app/profile/clpolk.com/post/3knevnjczp52b,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
108,https://bsky.app/profile/joshuafoust.com/post/3kngjtesfd22j,civic,moderate,civic,right-leaning,civic,left-leaning,True,True,False,False
109,https://bsky.app/profile/funranium.bsky.social/post/3knk66bfxbc2w,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
110,https://bsky.app/profile/profmusgrave.bsky.social/post/3kngvpjdcup2t,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
111,https://bsky.app/profile/joshuajfriedman.com/post/3knjpith6ze2p,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
112,https://bsky.app/profile/theferocity.bsky.social/post/3knghe24qtm2n,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
113,https://bsky.app/profile/rbreich.bsky.social/post/3kno63o53g22f,civic,right-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
114,https://bsky.app/profile/catsofyore.bsky.social/post/3knf6jn2hbl2d,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
115,https://bsky.app/profile/catsofyore.bsky.social/post/3knrzlavx4n2z,not civic,unclear,civic,unclear,civic,left-leaning,False,True,False,False
116,https://bsky.app/profile/surcomplicated.bsky.social/post/3knexl344bs2f,not civic,unclear,civic,right-leaning,civic,left-leaning,False,True,False,False
117,https://bsky.app/profile/econroy.bsky.social/post/3knirhf3gal26,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
118,https://bsky.app/profile/thetattooedprof.bsky.social/post/3kng25fyspk2j,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
119,https://bsky.app/profile/edyong209.bsky.social/post/3kntq5w2o4s2l,not civic,unclear,civic,unclear,civic,right-leaning,False,True,False,False
120,https://bsky.app/profile/astrokatie.com/post/3knguix4dyp2b,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
121,https://bsky.app/profile/josiah.lol/post/3knr6koe6fp26,civic,left-leaning,civic,unclear,civic,left-leaning,True,True,False,False
122,https://bsky.app/profile/petersagal.bsky.social/post/3kntzi3j2id2q,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
123,https://bsky.app/profile/davidjroth.bsky.social/post/3knen3cqrjs2b,not civic,unclear,civic,unclear,civic,left-leaning,False,True,False,False
124,https://bsky.app/profile/thetigerspot.bsky.social/post/3knqcn632f22c,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
125,https://bsky.app/profile/chimeracoder.bsky.social/post/3knj5kpczic2u,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
126,https://bsky.app/profile/junlper.bsky.social/post/3knjeikjx4w2f,civic,left-leaning,civic,unclear,civic,unclear,True,True,False,True
127,https://bsky.app/profile/anarchonion.bsky.social/post/3knheuellvh2e,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
128,https://bsky.app/profile/jbouie.bsky.social/post/3knrfaap7jk2r,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
129,https://bsky.app/profile/lolgop.bsky.social/post/3kntnef2boc2g,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
130,https://bsky.app/profile/pkrugman.bsky.social/post/3knsutaqimd2i,civic,unclear,civic,left-leaning,civic,left-leaning,True,True,False,True
131,https://bsky.app/profile/leavittalone.bsky.social/post/3knf4ml5wct2y,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
132,https://bsky.app/profile/kenlowery.bsky.social/post/3knht3bbski2h,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
133,https://bsky.app/profile/tomtomorrow.bsky.social/post/3knmfzxekis2g,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
134,https://bsky.app/profile/bethanyblack.bsky.social/post/3kngblii3yk2m,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
135,https://bsky.app/profile/beckyhammer.bsky.social/post/3knroe26jo42b,not civic,unclear,not civic,unclear,civic,left-leaning,False,False,False,False
136,https://bsky.app/profile/neolithicsheep.bsky.social/post/3knrsd5yzsh2c,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
137,https://bsky.app/profile/npr.org/post/3kntjjdda3k2r,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
138,https://bsky.app/profile/astrokatie.com/post/3knj5lqzfbt2l,not civic,unclear,civic,right-leaning,civic,right-leaning,False,True,False,True
139,https://bsky.app/profile/strandjunker.bsky.social/post/3knelbsrdwc2n,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
140,https://bsky.app/profile/crushbort.bsky.social/post/3knecuxoiig2o,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
141,https://bsky.app/profile/ryannorth.ca/post/3kngzpi57tm2y,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
142,https://bsky.app/profile/jesseltaylor.bsky.social/post/3knp2ktkfqs2g,civic,right-leaning,civic,right-leaning,not civic,unclear,False,False,False,False
143,https://bsky.app/profile/rbreich.bsky.social/post/3knojzl5xh32g,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
144,https://bsky.app/profile/pixelatedboat.bsky.social/post/3knrzoc5lfc2r,not civic,unclear,civic,right-leaning,civic,left-leaning,False,True,False,False
145,https://bsky.app/profile/lethalityjane.bsky.social/post/3knmna43n4c2u,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
146,https://bsky.app/profile/pbump.com/post/3knlocwi4ac24,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
147,https://bsky.app/profile/catsofyore.bsky.social/post/3knmnr6lu5s2q,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
148,https://bsky.app/profile/weirwoodtreehug.bsky.social/post/3knt66pbp6227,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
149,https://bsky.app/profile/encephalophagy.bsky.social/post/3knnot5qsut22,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
150,https://bsky.app/profile/joshuajfriedman.com/post/3knfcdvb6t22r,civic,unclear,civic,right-leaning,civic,right-leaning,True,True,False,True
151,https://bsky.app/profile/cait.bsky.social/post/3knimvlvulb2a,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
152,https://bsky.app/profile/marisakabas.bsky.social/post/3knuhvjaew324,civic,unclear,not civic,unclear,not civic,unclear,False,True,True,True
153,https://bsky.app/profile/joshuaerlich.bsky.social/post/3knsul6pqtk2x,not civic,unclear,civic,right-leaning,not civic,unclear,False,False,False,False
154,https://bsky.app/profile/andylevy.bsky.social/post/3knfcmr4ith2s,not civic,unclear,civic,unclear,civic,left-leaning,False,True,False,False
155,https://bsky.app/profile/gregpak.bsky.social/post/3knsu6pjy2227,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
156,https://bsky.app/profile/ygalanter.bsky.social/post/3knhrdekmas25,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
157,https://bsky.app/profile/npr.org/post/3kntfv6if4m2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
158,https://bsky.app/profile/clairewillett.bsky.social/post/3knsa62ucpe2h,not civic,unclear,not civic,unclear,civic,left-leaning,False,False,False,False
159,https://bsky.app/profile/clancyny.bsky.social/post/3knh2gspnxk2a,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
160,https://bsky.app/profile/brendelbored.bsky.social/post/3knlzq5rffc2i,civic,unclear,civic,right-leaning,civic,left-leaning,True,True,False,False
161,https://bsky.app/profile/golikehellmachine.bsky.social/post/3knh6zd4fv326,civic,right-leaning,civic,left-leaning,civic,left-leaning,True,True,False,True
162,https://bsky.app/profile/xoxogossipgita.bsky.social/post/3knhb6bowze2o,civic,left-leaning,civic,left-leaning,civic,moderate,True,True,False,False
163,https://bsky.app/profile/mtsw.bsky.social/post/3kneabcfmam2r,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
164,https://bsky.app/profile/ryanlcooper.com/post/3kntlutpzn22q,civic,right-leaning,civic,moderate,civic,moderate,True,True,False,True
165,https://bsky.app/profile/lindaholmes.bsky.social/post/3knswslt5yt2p,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
166,https://bsky.app/profile/ruemcclammyhand.bsky.social/post/3kntudijxkk2e,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
167,https://bsky.app/profile/secretaboutbox.bsky.social/post/3knlr7zguc22r,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
168,https://bsky.app/profile/nicholasgrossman.bsky.social/post/3knszz6in4i2a,civic,unclear,civic,left-leaning,civic,left-leaning,True,True,False,True
169,https://bsky.app/profile/kendrawrites.bsky.social/post/3knsvqzy2ul2i,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
170,https://bsky.app/profile/fleerultra.bsky.social/post/3kntaqo47jp2c,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
171,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3kntldci2v32f,civic,right-leaning,not civic,unclear,civic,left-leaning,False,False,False,False
172,https://bsky.app/profile/tylerking.bsky.social/post/3knhrouyyak2z,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
173,https://bsky.app/profile/thomaszimmer.bsky.social/post/3kntnykbten2f,civic,left-leaning,civic,right-leaning,civic,moderate,True,True,False,False
174,https://bsky.app/profile/ellearmageddon.bsky.social/post/3kntztqkpds2q,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
175,https://bsky.app/profile/veryimportant.lawyer/post/3knu6g6t6ve2e,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
176,https://bsky.app/profile/lukeoneil47.bsky.social/post/3knst3eyt4324,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
177,https://bsky.app/profile/notalawyer.bsky.social/post/3knts7ztby224,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
178,https://bsky.app/profile/pixelatedboat.bsky.social/post/3knsryabkfl2r,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
179,https://bsky.app/profile/shengokai.bsky.social/post/3knjxmgdd4s2a,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
180,https://bsky.app/profile/mtsw.bsky.social/post/3knote5ud6422,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
181,https://bsky.app/profile/bencollins.bsky.social/post/3knqlj267ld2q,civic,left-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
182,https://bsky.app/profile/brainnotonyet.bsky.social/post/3kntrgg7a5c2s,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
183,https://bsky.app/profile/rossignol.bsky.social/post/3knthnphit622,not civic,unclear,civic,left-leaning,civic,left-leaning,False,True,False,True
184,https://bsky.app/profile/ohnoshetwitnt.bsky.social/post/3knsnevtne32p,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
185,https://bsky.app/profile/pkrugman.bsky.social/post/3knsuujkgnd22,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
186,https://bsky.app/profile/tkingfisher.bsky.social/post/3kn73cleu5i2i,not civic,unclear,civic,right-leaning,civic,right-leaning,False,True,False,True
187,https://bsky.app/profile/c0nc0rdance.bsky.social/post/3kntxyhe53s2n,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
188,https://bsky.app/profile/lolgop.bsky.social/post/3kntt6tiegp25,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
189,https://bsky.app/profile/seantcollins.bsky.social/post/3kntpmgjm7k23,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
190,https://bsky.app/profile/emptywheel.bsky.social/post/3knsncyl6xk2h,civic,left-leaning,civic,right-leaning,civic,right-leaning,True,True,False,True
191,https://bsky.app/profile/lauren.rotatingsandwiches.com/post/3knsrjsqvqx25,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
192,https://bsky.app/profile/raxkingisdead.bsky.social/post/3knsx4h5ims2v,civic,left-leaning,not civic,unclear,not civic,unclear,False,True,False,True
