,link,civic_label,political_label,civic_hand_label,political_ideology_hand_label,has_context
26,https://bsky.app/profile/emily.gorcen.ski/post/3kngrwzy7uv2k,civic,left-leaning,civic,,True
27,https://bsky.app/profile/paleofuture.bsky.social/post/3knf43s66bk2n,civic,right-leaning,civic,left-leaning,True
28,https://bsky.app/profile/sararoseg.bsky.social/post/3knlnrllvyk2k,civic,left-leaning,civic,unclear,True
29,https://bsky.app/profile/safety.bsky.app/post/3knjj6y6yoi2i,not civic,unclear,not civic,,True
30,https://bsky.app/profile/spavel.bsky.social/post/3knjycv45ik2a,civic,unclear,not civic,,True
31,https://bsky.app/profile/lordbusinessman.bsky.social/post/3kngffmjlss2n,civic,left-leaning,not civic,,True
32,https://bsky.app/profile/kashana.bsky.social/post/3knlxntshtk2h,civic,right-leaning,civic,left-leaning,True
33,https://bsky.app/profile/evangreer.bsky.social/post/3knk45rdb722i,civic,left-leaning,civic,left-leaning,True
34,https://bsky.app/profile/vpsreports.bsky.social/post/3knpgffqs6k2a,civic,left-leaning,civic,unclear,True
35,https://bsky.app/profile/edithcharles.bsky.social/post/3knppw6m6ym2b,civic,left-leaning,not civic,,True
36,https://bsky.app/profile/kilgoretrout.bsky.social/post/3knjfwno4dy2l,civic,unclear,civic,left-leaning,True
37,https://bsky.app/profile/jrbolt.bsky.social/post/3knkfjwpchs22,not civic,unclear,not civic,,True
38,https://bsky.app/profile/thielman.bsky.social/post/3knevenneex2b,not civic,unclear,not civic,,True
39,https://bsky.app/profile/theradr.bsky.social/post/3knk7aq4twk24,civic,left-leaning,civic,left-leaning,True
40,https://bsky.app/profile/rhi.bsky.social/post/3kninwdz6ef2d,not civic,unclear,not civic,,True
41,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knlu4j5v7s2s,civic,unclear,civic,unclear,True
42,https://bsky.app/profile/kenklippenstein.bsky.social/post/3knt74lknoi2y,civic,moderate,civic,unclear,True
43,https://bsky.app/profile/brendelbored.bsky.social/post/3knobbmewi22h,not civic,unclear,not civic,,True
44,https://bsky.app/profile/johnrogers.bsky.social/post/3knqkvrpipc2y,civic,left-leaning,civic,left-leaning,True
45,https://bsky.app/profile/martian-observer.art/post/3knqeo5m6q62v,not civic,unclear,not civic,,True
46,https://bsky.app/profile/carlbergstrom.com/post/3knqlji4zgl2d,not civic,unclear,not civic,,True
47,https://bsky.app/profile/dell.bsky.social/post/3knhruxvhn32x,not civic,unclear,not civic,,True
48,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn7cloxu2w,not civic,unclear,civic,right-leaning,True
49,https://bsky.app/profile/scottsantens.com/post/3knqkh2es7k2i,civic,left-leaning,civic,left-leaning,True
50,https://bsky.app/profile/mommunism.bsky.social/post/3knkvugzd2k2n,civic,left-leaning,not civic,,True
51,https://bsky.app/profile/mangmangmang.bsky.social/post/3kno26hkn222u,not civic,unclear,not civic,,True
52,https://bsky.app/profile/newamauta.bsky.social/post/3knrn5ary4c2t,civic,left-leaning,civic,unclear,True
53,https://bsky.app/profile/alishagrauso.bsky.social/post/3kndutirhrd2z,not civic,unclear,not civic,,True
54,https://bsky.app/profile/rzhongnotes.bsky.social/post/3knfdpymu3x2b,not civic,unclear,not civic,,True
55,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3kntar6c6ps2o,civic,left-leaning,civic,left-leaning,True
56,https://bsky.app/profile/catsofyore.bsky.social/post/3knrc7vc6gx2c,not civic,unclear,not civic,,True
57,https://bsky.app/profile/rincewind.run/post/3knly7zt6322w,civic,left-leaning,civic,left-leaning,True
58,https://bsky.app/profile/chadloder.bsky.social/post/3knmjanu2u22u,civic,left-leaning,civic,left-leaning,True
59,https://bsky.app/profile/catsofyore.bsky.social/post/3knk2bgm5ms2i,not civic,unclear,not civic,,True
60,https://bsky.app/profile/dell.bsky.social/post/3knkpereuc22a,civic,left-leaning,civic,left-leaning,True
61,https://bsky.app/profile/alexanderchee.bsky.social/post/3knincv5iv225,civic,left-leaning,not civic,,True
62,https://bsky.app/profile/murshedz.bsky.social/post/3kno66rxcbf2e,civic,left-leaning,civic,left-leaning,True
63,https://bsky.app/profile/ryanlcooper.com/post/3ko2hoexa322o,civic,left-leaning,civic,unclear,True
64,https://bsky.app/profile/ryanlcooper.com/post/3knrp4bjslk2m,civic,left-leaning,civic,left-leaning,True
65,https://bsky.app/profile/kjhealy.bsky.social/post/3knl7425rb22z,not civic,unclear,not civic,,True
66,https://bsky.app/profile/scottsantens.com/post/3knsupwoqyk2y,civic,left-leaning,civic,left-leaning,True
67,https://bsky.app/profile/maxkennerly.bsky.social/post/3kndtrgi6ql25,civic,left-leaning,civic,left-leaning,True
68,https://bsky.app/profile/joshuaphill.bsky.social/post/3kndwmoo3c22a,civic,left-leaning,civic,unclear,True
69,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knj75qu6vn2y,civic,left-leaning,civic,left-leaning,True
70,https://bsky.app/profile/jbouie.bsky.social/post/3kniqsm2hz622,civic,left-leaning,civic,unclear,True
71,https://bsky.app/profile/zitron.bsky.social/post/3knecwbxjds24,civic,left-leaning,civic,left-leaning,True
72,https://bsky.app/profile/mikedrucker.bsky.social/post/3knixnbl6x62i,not civic,unclear,not civic,,True
73,https://bsky.app/profile/quinnae.com/post/3knmlpr4qdk2u,civic,left-leaning,civic,left-leaning,True
74,https://bsky.app/profile/iboudreau.bsky.social/post/3knmd2kwl6s27,civic,left-leaning,civic,left-leaning,True
75,https://bsky.app/profile/erictopol.bsky.social/post/3knjvwdcmps2v,not civic,unclear,not civic,,True
76,https://bsky.app/profile/oregonzoo.bsky.social/post/3kngw3mk7o42y,not civic,unclear,not civic,,True
77,https://bsky.app/profile/coachfinstock.bsky.social/post/3knjri3xoj42x,civic,left-leaning,civic,left-leaning,True
78,https://bsky.app/profile/knilirabaj.bsky.social/post/3knlh2nv2rx2q,civic,left-leaning,civic,left-leaning,True
79,https://bsky.app/profile/ernekid.bsky.social/post/3knrpatsqms2q,not civic,unclear,not civic,,True
80,https://bsky.app/profile/kekeflipnote.bsky.social/post/3knvbpok3x72z,not civic,unclear,not civic,,True
81,https://bsky.app/profile/funranium.bsky.social/post/3knk66bfxbc2w,civic,left-leaning,not civic,,True
82,https://bsky.app/profile/catsofyore.bsky.social/post/3knf6jn2hbl2d,not civic,unclear,not civic,,True
83,https://bsky.app/profile/catsofyore.bsky.social/post/3knrzlavx4n2z,not civic,unclear,not civic,,True
84,https://bsky.app/profile/econroy.bsky.social/post/3knirhf3gal26,civic,left-leaning,civic,left-leaning,True
85,https://bsky.app/profile/thetattooedprof.bsky.social/post/3kng25fyspk2j,civic,left-leaning,not civic,,True
86,https://bsky.app/profile/jbouie.bsky.social/post/3knstcm42kk2h,civic,left-leaning,civic,left-leaning,True
87,https://bsky.app/profile/edyong209.bsky.social/post/3kntq5w2o4s2l,not civic,unclear,not civic,,True
88,https://bsky.app/profile/josiah.lol/post/3knr6koe6fp26,civic,left-leaning,civic,left-leaning,True
89,https://bsky.app/profile/petersagal.bsky.social/post/3kntzi3j2id2q,civic,right-leaning,civic,left-leaning,True
90,https://bsky.app/profile/golikehellmachine.bsky.social/post/3knh3acqchc2y,civic,left-leaning,civic,left-leaning,True
91,https://bsky.app/profile/thetigerspot.bsky.social/post/3knqcn632f22c,not civic,unclear,not civic,,True
92,https://bsky.app/profile/chimeracoder.bsky.social/post/3knj5kpczic2u,civic,left-leaning,civic,left-leaning,True
93,https://bsky.app/profile/lolgop.bsky.social/post/3kntnef2boc2g,civic,left-leaning,civic,left-leaning,True
94,https://bsky.app/profile/pkrugman.bsky.social/post/3knsutaqimd2i,civic,unclear,civic,unclear,True
95,https://bsky.app/profile/stevevladeck.bsky.social/post/3kntbnvmx4c2j,civic,left-leaning,civic,left-leaning,True
96,https://bsky.app/profile/beckyhammer.bsky.social/post/3knroe26jo42b,not civic,unclear,not civic,,True
97,https://bsky.app/profile/neolithicsheep.bsky.social/post/3knrsd5yzsh2c,civic,left-leaning,civic,left-leaning,True
98,https://bsky.app/profile/npr.org/post/3kntjjdda3k2r,civic,left-leaning,civic,left-leaning,True
99,https://bsky.app/profile/astrokatie.com/post/3knj5lqzfbt2l,not civic,unclear,not civic,,True
100,https://bsky.app/profile/jesseltaylor.bsky.social/post/3knp2ktkfqs2g,civic,right-leaning,civic,right-leaning,True
101,https://bsky.app/profile/weirwoodtreehug.bsky.social/post/3knt66pbp6227,civic,left-leaning,civic,left-leaning,True
102,https://bsky.app/profile/joshuajfriedman.com/post/3knfcdvb6t22r,civic,left-leaning,civic,left-leaning,True
103,https://bsky.app/profile/kevinmkruse.bsky.social/post/3knonbpmxos2e,civic,left-leaning,civic,left-leaning,True
104,https://bsky.app/profile/marisakabas.bsky.social/post/3knuhvjaew324,civic,left-leaning,civic,left-leaning,True
105,https://bsky.app/profile/joshuaerlich.bsky.social/post/3knsul6pqtk2x,civic,left-leaning,civic,left-leaning,True
106,https://bsky.app/profile/rincewind.run/post/3knjqnssmzr2a,civic,left-leaning,civic,left-leaning,True
107,https://bsky.app/profile/ygalanter.bsky.social/post/3knhrdekmas25,not civic,unclear,not civic,,True
108,https://bsky.app/profile/npr.org/post/3kntfv6if4m2m,civic,left-leaning,civic,moderate,True
109,https://bsky.app/profile/clancyny.bsky.social/post/3knh2gspnxk2a,civic,left-leaning,civic,left-leaning,True
110,https://bsky.app/profile/golikehellmachine.bsky.social/post/3knh6zd4fv326,civic,left-leaning,civic,left-leaning,True
111,https://bsky.app/profile/ryanlcooper.com/post/3kntlutpzn22q,civic,left-leaning,civic,left-leaning,True
112,https://bsky.app/profile/lindaholmes.bsky.social/post/3knswslt5yt2p,civic,left-leaning,civic,left-leaning,True
113,https://bsky.app/profile/ruemcclammyhand.bsky.social/post/3kntudijxkk2e,civic,left-leaning,civic,left-leaning,True
114,https://bsky.app/profile/nicholasgrossman.bsky.social/post/3knszz6in4i2a,civic,moderate,civic,moderate,True
115,https://bsky.app/profile/tylerking.bsky.social/post/3knhrouyyak2z,civic,left-leaning,civic,left-leaning,True
116,https://bsky.app/profile/thomaszimmer.bsky.social/post/3kntnykbten2f,civic,left-leaning,civic,left-leaning,True
117,https://bsky.app/profile/ellearmageddon.bsky.social/post/3kntztqkpds2q,civic,left-leaning,civic,left-leaning,True
118,https://bsky.app/profile/notalawyer.bsky.social/post/3knts7ztby224,civic,moderate,civic,moderate,True
119,https://bsky.app/profile/mtsw.bsky.social/post/3knote5ud6422,civic,left-leaning,civic,left-leaning,True
120,https://bsky.app/profile/blakeprof.bsky.social/post/3kntcx3hqx323,not civic,unclear,not civic,,True
121,https://bsky.app/profile/brainnotonyet.bsky.social/post/3kntrgg7a5c2s,civic,left-leaning,civic,left-leaning,True
122,https://bsky.app/profile/pkrugman.bsky.social/post/3knsuujkgnd22,civic,moderate,civic,moderate,True
123,https://bsky.app/profile/c0nc0rdance.bsky.social/post/3kntxyhe53s2n,civic,left-leaning,civic,left-leaning,True
124,https://bsky.app/profile/machete.gay/post/3kngazrt44n2y,civic,right-leaning,civic,right-leaning,True
125,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngnbccuur2i,civic,moderate,civic,moderate,True
126,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3kntaaxglc22l,civic,unclear,civic,unclear,True
127,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knssi4ouko24,civic,left-leaning,civic,left-leaning,True
128,https://bsky.app/profile/billcorbett.bsky.social/post/3knt3falxex2i,civic,left-leaning,civic,left-leaning,True
129,https://bsky.app/profile/tylerhuckabee.bsky.social/post/3kntjppn3yn2v,civic,left-leaning,civic,left-leaning,True
130,https://bsky.app/profile/esqueer.bsky.social/post/3knt7cwvifc2y,not civic,unclear,not civic,,True
131,https://bsky.app/profile/hypervisible.bsky.social/post/3knt6poe6ic2l,civic,left-leaning,not civic,,True
132,https://bsky.app/profile/juliusgoat.bsky.social/post/3knstcvx3mc2f,civic,left-leaning,civic,left-leaning,True
133,https://bsky.app/profile/nkjemisin.bsky.social/post/3knswvmlf422q,not civic,unclear,not civic,,True
134,https://bsky.app/profile/thomaszimmer.bsky.social/post/3kntvjapsc32g,civic,left-leaning,civic,left-leaning,True
135,https://bsky.app/profile/ryanlcooper.com/post/3knt7p4omys2j,civic,left-leaning,civic,left-leaning,True
136,https://bsky.app/profile/marygillis.bsky.social/post/3kntq5xnnyl2g,civic,left-leaning,civic,left-leaning,True
137,https://bsky.app/profile/m1randa.bsky.social/post/3knrmizpbum2h,not civic,unclear,not civic,,True
138,https://bsky.app/profile/ryanlcooper.com/post/3kngxbmxabd2z,civic,left-leaning,civic,left-leaning,True
139,https://bsky.app/profile/marisakabas.bsky.social/post/3knuiccqspl24,civic,left-leaning,civic,left-leaning,True
140,https://bsky.app/profile/mtsw.bsky.social/post/3kntaahklhu2u,not civic,unclear,not civic,,True
141,https://bsky.app/profile/sjjphd.bsky.social/post/3kntkae5jxl2q,civic,left-leaning,civic,left-leaning,True
142,https://bsky.app/profile/lindaholmes.bsky.social/post/3knswcufzss2i,not civic,unclear,not civic,,True
143,https://bsky.app/profile/alexandraerin.com/post/3kntmi4rzqi2a,civic,left-leaning,civic,left-leaning,True
144,https://bsky.app/profile/thev.bsky.social/post/3knsonj5pf224,not civic,unclear,not civic,,True
145,https://bsky.app/profile/juliusgoat.bsky.social/post/3knsvuoelgl2q,civic,left-leaning,civic,left-leaning,True
146,https://bsky.app/profile/chadloder.bsky.social/post/3kns2wyiba22r,civic,left-leaning,civic,left-leaning,True
147,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knstbz6yas22,civic,right-leaning,civic,left-leaning,True
148,https://bsky.app/profile/parismarx.bsky.social/post/3knszodnag223,civic,left-leaning,civic,left-leaning,True
149,https://bsky.app/profile/phillewis.bsky.social/post/3kntqnr52bf2x,civic,moderate,not civic,,True
150,https://bsky.app/profile/lindaholmes.bsky.social/post/3knswfyabn22j,civic,left-leaning,not civic,,True
151,https://bsky.app/profile/jameeljaffer.bsky.social/post/3knst4cru622w,not civic,unclear,civic,left-leaning,True
152,https://bsky.app/profile/mmasnick.bsky.social/post/3kntbjfyh7t2a,civic,right-leaning,civic,right-leaning,True
153,https://bsky.app/profile/phillewis.bsky.social/post/3knt32qath22s,not civic,unclear,not civic,,True
154,https://bsky.app/profile/sethcotlar.bsky.social/post/3knt5mr4qlk2s,civic,left-leaning,civic,left-leaning,True
155,https://bsky.app/profile/restingdinoface.bsky.social/post/3knsxeltlvg24,civic,left-leaning,civic,left-leaning,True
156,https://bsky.app/profile/rincewind.run/post/3kntgzothvp2q,civic,left-leaning,civic,left-leaning,True
157,https://bsky.app/profile/lamhfada.bsky.social/post/3knsu7us5hm2i,civic,left-leaning,civic,left-leaning,True
158,https://bsky.app/profile/kilgoretrout.bsky.social/post/3kntt5cgf6k25,not civic,unclear,not civic,,True
159,https://bsky.app/profile/premeemohamed.com/post/3knuanjgw4l22,not civic,unclear,not civic,,True
160,https://bsky.app/profile/astrokatie.com/post/3kntc4ibc3322,civic,left-leaning,not civic,,True
161,https://bsky.app/profile/mondomascots.bsky.social/post/3kntwnnbyzx2t,not civic,unclear,not civic,,True
162,https://bsky.app/profile/mmasnick.bsky.social/post/3kntpzl7u7k2g,civic,left-leaning,civic,left-leaning,True
163,https://bsky.app/profile/notalawyer.bsky.social/post/3kntshvvg6s2h,not civic,unclear,not civic,,True
164,https://bsky.app/profile/pardoguerra.bsky.social/post/3knu6hlwo422n,civic,unclear,not civic,,True
165,https://bsky.app/profile/tkingfisher.bsky.social/post/3kn73hc2wrt2r,not civic,unclear,not civic,,True
166,https://bsky.app/profile/clairewillett.bsky.social/post/3kntjz2ev432z,not civic,unclear,not civic,,True
167,https://bsky.app/profile/mayawest.online/post/3knu2ati2zk2c,civic,left-leaning,civic,left-leaning,True
168,https://bsky.app/profile/rusty.todayintabs.com/post/3kntvqmqxhu2p,civic,left-leaning,civic,left-leaning,True
169,https://bsky.app/profile/womensart1.bsky.social/post/3knslk23gk52w,not civic,unclear,not civic,,True
170,https://bsky.app/profile/paulgcornish.bsky.social/post/3knsux5iyet2h,not civic,unclear,not civic,,True
171,https://bsky.app/profile/cait.bsky.social/post/3knu3yxy66u24,not civic,unclear,not civic,,True
172,https://bsky.app/profile/clairewillett.bsky.social/post/3knttyg5wp32i,civic,left-leaning,civic,left-leaning,True
173,https://bsky.app/profile/wolvendamien.bsky.social/post/3knthj24stk22,civic,left-leaning,civic,left-leaning,True
174,https://bsky.app/profile/karlbode.bsky.social/post/3knszi55xch2c,civic,left-leaning,civic,left-leaning,True
175,https://bsky.app/profile/catbus.bsky.social/post/3kns3uoaf3i2i,civic,right-leaning,not civic,,True
176,https://bsky.app/profile/amyhoy.bsky.social/post/3knt5dgqdr42k,not civic,unclear,not civic,,True
177,https://bsky.app/profile/ruemcclammyhand.bsky.social/post/3kntufjhlwo2i,civic,left-leaning,civic,left-leaning,True
178,https://bsky.app/profile/brendelbored.bsky.social/post/3knu6bmjbft2h,not civic,unclear,not civic,,True
179,https://bsky.app/profile/premeemohamed.com/post/3kntoprggtl2u,not civic,unclear,not civic,,True
180,https://bsky.app/profile/npr.org/post/3kntix5jcnv2n,not civic,unclear,not civic,,True
181,https://bsky.app/profile/propcazhpm.bsky.social/post/3knsia7ym2o2v,civic,left-leaning,civic,left-leaning,True
182,https://bsky.app/profile/kenwhite.bsky.social/post/3kntdez6eas2o,not civic,unclear,not civic,,True
183,https://bsky.app/profile/femin.ized.gay/post/3knucom2dxc2x,civic,left-leaning,civic,left-leaning,True
184,https://bsky.app/profile/shoegaze-dad.bsky.social/post/3kns5agfxfk2o,civic,left-leaning,not civic,,True
185,https://bsky.app/profile/uncleduke1969.bsky.social/post/3knta6xhclu26,not civic,unclear,not civic,,True
186,https://bsky.app/profile/gonebabygone.bsky.social/post/3knttvqsy3e2a,civic,left-leaning,civic,left-leaning,True
187,https://bsky.app/profile/wolfyama.bsky.social/post/3kntqgzunkk2s,not civic,unclear,not civic,,True
188,https://bsky.app/profile/marshwort.bsky.social/post/3kns2pzdkcl26,civic,left-leaning,civic,left-leaning,True
189,https://bsky.app/profile/lookitup.baby/post/3knrzbrrqun24,civic,left-leaning,civic,left-leaning,True
190,https://bsky.app/profile/jbouie.bsky.social/post/3knsy3i6gwk2z,not civic,unclear,not civic,,True
191,https://bsky.app/profile/premeemohamed.com/post/3kntoz735kk2i,not civic,unclear,not civic,,True
192,https://bsky.app/profile/jbouie.bsky.social/post/3knt276ygec2j,civic,left-leaning,not civic,,True
193,https://bsky.app/profile/rosalarian.bsky.social/post/3kntim6ude22q,civic,left-leaning,not civic,,True
194,https://bsky.app/profile/clairewillett.bsky.social/post/3kntgluq5y22a,civic,left-leaning,civic,left-leaning,True
195,https://bsky.app/profile/clairewillett.bsky.social/post/3knsabmagcd22,not civic,unclear,not civic,,True
196,https://bsky.app/profile/mmasnick.bsky.social/post/3knty3h2qye2w,civic,left-leaning,civic,left-leaning,True
197,https://bsky.app/profile/unstablemongoose.bsky.social/post/3kngniii2gi2r,civic,left-leaning,civic,left-leaning,True
198,https://bsky.app/profile/ruemcclammyhand.bsky.social/post/3kntuinenm323,civic,left-leaning,civic,left-leaning,True
199,https://bsky.app/profile/helenkennedy.bsky.social/post/3knu2ubr4sc26,civic,right-leaning,civic,left-leaning,True
200,https://bsky.app/profile/saramchenry.bsky.social/post/3kntr4xlrz422,civic,left-leaning,civic,left-leaning,True
201,https://bsky.app/profile/rincewind.run/post/3kntqhpdh4d24,civic,left-leaning,civic,left-leaning,True
202,https://bsky.app/profile/rincewind.run/post/3kntzq7pxg52m,civic,left-leaning,civic,left-leaning,True
0,https://bsky.app/profile/jbouie.bsky.social/post/3knqbtrdzrz2n,civic,left-leaning,civic,left-leaning,False
1,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn4umr3z2e,civic,left-leaning,civic,unclear,False
2,https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,civic,left-leaning,civic,left-leaning,False
5,https://bsky.app/profile/bachynski.bsky.social/post/3knvd764tfu2y,civic,left-leaning,civic,left-leaning,False
6,https://bsky.app/profile/rainsurname.bsky.social/post/3knhl3db6jt2y,civic,left-leaning,civic,left-leaning,False
7,https://bsky.app/profile/jbouie.bsky.social/post/3knovwzjb4c2j,civic,left-leaning,civic,left-leaning,False
8,https://bsky.app/profile/jgownder.bsky.social/post/3knji5ltct32a,not civic,unclear,not civic,,False
9,https://bsky.app/profile/fallonturing.bsky.social/post/3knonywlopd24,not civic,unclear,civic,left-leaning,False
10,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knnswnhia42r,civic,left-leaning,civic,left-leaning,False
11,https://bsky.app/profile/newamauta.bsky.social/post/3knf4e4w7le22,civic,left-leaning,not civic,,False
12,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knnwnfo6cd2m,civic,left-leaning,civic,left-leaning,False
13,https://bsky.app/profile/jwgoerlich.bsky.social/post/3knogawk33c2h,not civic,unclear,not civic,,False
14,https://bsky.app/profile/cvh.bsky.social/post/3knjs3ge2zo2u,civic,left-leaning,civic,left-leaning,False
15,https://bsky.app/profile/kashana.bsky.social/post/3kno37bon6326,civic,left-leaning,civic,left-leaning,False
16,https://bsky.app/profile/xphtherapy.bsky.social/post/3knromke5nt2u,not civic,unclear,civic,left-leaning,False
19,https://bsky.app/profile/sararoseg.bsky.social/post/3knloepgvdk2f,civic,left-leaning,civic,left-leaning,False
21,https://bsky.app/profile/jbouie.bsky.social/post/3knovykscwk2i,civic,moderate,civic,unclear,False
22,https://bsky.app/profile/markharris.bsky.social/post/3knjbkoqy3r2x,civic,left-leaning,civic,left-leaning,False
23,https://bsky.app/profile/gonebabygone.bsky.social/post/3knj3lcnwsk2y,civic,left-leaning,civic,unclear,False
24,https://bsky.app/profile/eladn.bsky.social/post/3knrbd6hnj42v,civic,left-leaning,civic,left-leaning,False
26,https://bsky.app/profile/fleerultra.bsky.social/post/3knofganxyk2z,civic,left-leaning,civic,left-leaning,False
27,https://bsky.app/profile/juliadoubleday.bsky.social/post/3knhlxhbewv2k,civic,left-leaning,civic,left-leaning,False
29,https://bsky.app/profile/normative.bsky.social/post/3knm3cftdos2r,civic,moderate,civic,unclear,False
30,https://bsky.app/profile/blueheronfarm.bsky.social/post/3knmci6lfht2e,not civic,unclear,not civic,,False
33,https://bsky.app/profile/nickkodama.bsky.social/post/3knlovhpnuk2b,not civic,unclear,not civic,,False
35,https://bsky.app/profile/knilirabaj.bsky.social/post/3knilna5ius2f,civic,left-leaning,civic,unclear,False
36,https://bsky.app/profile/emily.gorcen.ski/post/3kngrwzy7uv2k,civic,left-leaning,civic,,False
37,https://bsky.app/profile/paleofuture.bsky.social/post/3knf43s66bk2n,civic,unclear,civic,left-leaning,False
38,https://bsky.app/profile/sararoseg.bsky.social/post/3knlnrllvyk2k,civic,left-leaning,civic,unclear,False
40,https://bsky.app/profile/safety.bsky.app/post/3knjj6y6yoi2i,not civic,unclear,not civic,,False
41,https://bsky.app/profile/spavel.bsky.social/post/3knjycv45ik2a,not civic,unclear,not civic,,False
42,https://bsky.app/profile/lordbusinessman.bsky.social/post/3kngffmjlss2n,civic,right-leaning,not civic,,False
43,https://bsky.app/profile/kashana.bsky.social/post/3knlxntshtk2h,civic,left-leaning,civic,left-leaning,False
45,https://bsky.app/profile/evangreer.bsky.social/post/3knk45rdb722i,civic,left-leaning,civic,left-leaning,False
46,https://bsky.app/profile/vpsreports.bsky.social/post/3knpgffqs6k2a,civic,right-leaning,civic,unclear,False
47,https://bsky.app/profile/edithcharles.bsky.social/post/3knppw6m6ym2b,not civic,unclear,not civic,,False
48,https://bsky.app/profile/kilgoretrout.bsky.social/post/3knjfwno4dy2l,not civic,unclear,civic,left-leaning,False
49,https://bsky.app/profile/jrbolt.bsky.social/post/3knkfjwpchs22,not civic,unclear,not civic,,False
50,https://bsky.app/profile/thielman.bsky.social/post/3knevenneex2b,not civic,unclear,not civic,,False
51,https://bsky.app/profile/theradr.bsky.social/post/3knk7aq4twk24,civic,left-leaning,civic,left-leaning,False
52,https://bsky.app/profile/rhi.bsky.social/post/3kninwdz6ef2d,not civic,unclear,not civic,,False
54,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knlu4j5v7s2s,not civic,unclear,civic,unclear,False
55,https://bsky.app/profile/kenklippenstein.bsky.social/post/3knt74lknoi2y,civic,moderate,civic,unclear,False
57,https://bsky.app/profile/brendelbored.bsky.social/post/3knobbmewi22h,not civic,unclear,not civic,,False
59,https://bsky.app/profile/johnrogers.bsky.social/post/3knqkvrpipc2y,civic,left-leaning,civic,left-leaning,False
60,https://bsky.app/profile/martian-observer.art/post/3knqeo5m6q62v,not civic,unclear,not civic,,False
