,link,gpt4_civic_label,gpt4_political_label,llama3-8b_civic_label,llama3-8b_political_label,llama3-70b_civic_label,llama3-70b_political_label,civic_hand_label,political_ideology_hand_label
73,https://bsky.app/profile/catsofyore.bsky.social/post/3knrc7vc6gx2c,not civic,,civic,left-leaning,civic,left-leaning,not civic,
74,https://bsky.app/profile/rincewind.run/post/3knly7zt6322w,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
75,https://bsky.app/profile/chadloder.bsky.social/post/3knmjanu2u22u,civic,right-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
76,https://bsky.app/profile/mtsw.bsky.social/post/3knsa4bv3wg26,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
77,https://bsky.app/profile/catsofyore.bsky.social/post/3knk2bgm5ms2i,not civic,,civic,right-leaning,civic,left-leaning,not civic,
78,https://bsky.app/profile/dell.bsky.social/post/3knkpereuc22a,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
79,https://bsky.app/profile/mommunism.bsky.social/post/3kneg3vwgzl2p,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,right-leaning
80,https://bsky.app/profile/leer.bsky.social/post/3knh3k7kgg22p,civic,left-leaning,civic,left-leaning,civic,left-leaning,not civic,
81,https://bsky.app/profile/alexanderchee.bsky.social/post/3knincv5iv225,not civic,,civic,unclear,civic,left-leaning,not civic,
82,https://bsky.app/profile/murshedz.bsky.social/post/3kno66rxcbf2e,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
83,https://bsky.app/profile/seriousfreudoffice.bsky.social/post/3kntotf4qi42k,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
84,https://bsky.app/profile/ryanlcooper.com/post/3ko2hoexa322o,civic,left-leaning,civic,unclear,not civic,unclear,civic,unclear
85,https://bsky.app/profile/ryanlcooper.com/post/3knrp4bjslk2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
86,https://bsky.app/profile/scottsantens.com/post/3knsupwoqyk2y,civic,left-leaning,civic,right-leaning,civic,left-leaning,civic,left-leaning
87,https://bsky.app/profile/maxkennerly.bsky.social/post/3kndtrgi6ql25,not civic,,civic,unclear,civic,left-leaning,civic,left-leaning
88,https://bsky.app/profile/joshuaphill.bsky.social/post/3kndwmoo3c22a,not civic,,civic,left-leaning,civic,left-leaning,civic,unclear
89,https://bsky.app/profile/kashana.bsky.social/post/3knlke7yvz222,civic,left-leaning,civic,right-leaning,civic,left-leaning,civic,unclear
90,https://bsky.app/profile/chadloder.bsky.social/post/3kneut55qut2v,civic,left-leaning,civic,right-leaning,civic,left-leaning,civic,left-leaning
91,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knj75qu6vn2y,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
92,https://bsky.app/profile/jbouie.bsky.social/post/3kniqsm2hz622,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,unclear
93,https://bsky.app/profile/markharris.bsky.social/post/3knewm3dsrd2t,not civic,,not civic,unclear,not civic,unclear,not civic,
94,https://bsky.app/profile/zitron.bsky.social/post/3knecwbxjds24,not civic,,not civic,unclear,not civic,unclear,civic,left-leaning
95,https://bsky.app/profile/mikedrucker.bsky.social/post/3knixnbl6x62i,not civic,,civic,left-leaning,civic,left-leaning,not civic,
96,https://bsky.app/profile/astrokatie.com/post/3knf6gss7h22h,not civic,,not civic,unclear,civic,left-leaning,not civic,
97,https://bsky.app/profile/quinnae.com/post/3knmlpr4qdk2u,not civic,,civic,unclear,not civic,unclear,civic,left-leaning
98,https://bsky.app/profile/iboudreau.bsky.social/post/3knmd2kwl6s27,not civic,,civic,left-leaning,civic,left-leaning,civic,left-leaning
99,https://bsky.app/profile/erictopol.bsky.social/post/3knjvwdcmps2v,not civic,,not civic,unclear,not civic,unclear,not civic,
100,https://bsky.app/profile/rbreich.bsky.social/post/3knu26jrbls2s,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
101,https://bsky.app/profile/oregonzoo.bsky.social/post/3kngw3mk7o42y,not civic,,not civic,unclear,not civic,unclear,not civic,
102,https://bsky.app/profile/coachfinstock.bsky.social/post/3knjri3xoj42x,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
103,https://bsky.app/profile/bigbigtruck.bsky.social/post/3knr46thgtc2f,not civic,,not civic,unclear,not civic,unclear,not civic,
104,https://bsky.app/profile/knilirabaj.bsky.social/post/3knlh2nv2rx2q,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
105,https://bsky.app/profile/ernekid.bsky.social/post/3knrpatsqms2q,not civic,,not civic,unclear,not civic,unclear,not civic,
106,https://bsky.app/profile/kekeflipnote.bsky.social/post/3knvbpok3x72z,not civic,,not civic,unclear,not civic,unclear,not civic,
107,https://bsky.app/profile/jeffgerstmann.com/post/3knrw4snwu22x,not civic,,civic,left-leaning,civic,left-leaning,not civic,
108,https://bsky.app/profile/clpolk.com/post/3knevnjczp52b,not civic,,not civic,unclear,not civic,unclear,not civic,
109,https://bsky.app/profile/funranium.bsky.social/post/3knk66bfxbc2w,not civic,,not civic,unclear,not civic,unclear,not civic,
110,https://bsky.app/profile/profmusgrave.bsky.social/post/3kngvpjdcup2t,not civic,,civic,left-leaning,civic,left-leaning,not civic,
111,https://bsky.app/profile/joshuajfriedman.com/post/3knjpith6ze2p,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
112,https://bsky.app/profile/theferocity.bsky.social/post/3knghe24qtm2n,not civic,,not civic,unclear,not civic,unclear,not civic,
113,https://bsky.app/profile/rbreich.bsky.social/post/3kno63o53g22f,civic,right-leaning,civic,right-leaning,civic,left-leaning,civic,left-leaning
114,https://bsky.app/profile/catsofyore.bsky.social/post/3knf6jn2hbl2d,not civic,,civic,left-leaning,civic,left-leaning,not civic,
115,https://bsky.app/profile/catsofyore.bsky.social/post/3knrzlavx4n2z,not civic,,civic,unclear,civic,left-leaning,not civic,
116,https://bsky.app/profile/surcomplicated.bsky.social/post/3knexl344bs2f,not civic,,civic,right-leaning,civic,left-leaning,civic,unclear
117,https://bsky.app/profile/econroy.bsky.social/post/3knirhf3gal26,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
118,https://bsky.app/profile/thetattooedprof.bsky.social/post/3kng25fyspk2j,not civic,,not civic,unclear,not civic,unclear,not civic,
119,https://bsky.app/profile/edyong209.bsky.social/post/3kntq5w2o4s2l,not civic,,civic,unclear,civic,right-leaning,not civic,
120,https://bsky.app/profile/astrokatie.com/post/3knguix4dyp2b,not civic,,not civic,unclear,not civic,unclear,not civic,
121,https://bsky.app/profile/josiah.lol/post/3knr6koe6fp26,civic,left-leaning,civic,unclear,civic,left-leaning,civic,left-leaning
122,https://bsky.app/profile/petersagal.bsky.social/post/3kntzi3j2id2q,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
123,https://bsky.app/profile/davidjroth.bsky.social/post/3knen3cqrjs2b,not civic,,civic,unclear,civic,left-leaning,not civic,
124,https://bsky.app/profile/golikehellmachine.bsky.social/post/3knh3acqchc2y,not civic,,civic,left-leaning,civic,left-leaning,civic,left-leaning
125,https://bsky.app/profile/thetigerspot.bsky.social/post/3knqcn632f22c,not civic,,not civic,unclear,not civic,unclear,not civic,
126,https://bsky.app/profile/chimeracoder.bsky.social/post/3knj5kpczic2u,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
127,https://bsky.app/profile/junlper.bsky.social/post/3knjeikjx4w2f,civic,left-leaning,civic,unclear,civic,unclear,civic,left-leaning
128,https://bsky.app/profile/jbouie.bsky.social/post/3knrfaap7jk2r,not civic,,not civic,unclear,not civic,unclear,not civic,
129,https://bsky.app/profile/lolgop.bsky.social/post/3kntnef2boc2g,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
130,https://bsky.app/profile/pkrugman.bsky.social/post/3knsutaqimd2i,civic,unclear,civic,left-leaning,civic,left-leaning,civic,unclear
131,https://bsky.app/profile/leavittalone.bsky.social/post/3knf4ml5wct2y,not civic,,civic,left-leaning,civic,left-leaning,not civic,
132,https://bsky.app/profile/kenlowery.bsky.social/post/3knht3bbski2h,not civic,,not civic,unclear,not civic,unclear,not civic,
133,https://bsky.app/profile/tomtomorrow.bsky.social/post/3knmfzxekis2g,not civic,,civic,left-leaning,civic,left-leaning,civic,left-leaning
134,https://bsky.app/profile/bethanyblack.bsky.social/post/3kngblii3yk2m,not civic,,not civic,unclear,not civic,unclear,civic,left-leaning
135,https://bsky.app/profile/beckyhammer.bsky.social/post/3knroe26jo42b,not civic,,not civic,unclear,civic,left-leaning,not civic,
136,https://bsky.app/profile/neolithicsheep.bsky.social/post/3knrsd5yzsh2c,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
137,https://bsky.app/profile/npr.org/post/3kntjjdda3k2r,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
138,https://bsky.app/profile/astrokatie.com/post/3knj5lqzfbt2l,not civic,,civic,right-leaning,civic,right-leaning,not civic,
139,https://bsky.app/profile/strandjunker.bsky.social/post/3knelbsrdwc2n,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
140,https://bsky.app/profile/crushbort.bsky.social/post/3knecuxoiig2o,not civic,,not civic,unclear,not civic,unclear,not civic,
141,https://bsky.app/profile/ryannorth.ca/post/3kngzpi57tm2y,not civic,,not civic,unclear,not civic,unclear,not civic,
142,https://bsky.app/profile/jesseltaylor.bsky.social/post/3knp2ktkfqs2g,civic,right-leaning,civic,right-leaning,not civic,unclear,civic,right-leaning
143,https://bsky.app/profile/rbreich.bsky.social/post/3knojzl5xh32g,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
144,https://bsky.app/profile/pixelatedboat.bsky.social/post/3knrzoc5lfc2r,not civic,,civic,right-leaning,civic,left-leaning,not civic,
145,https://bsky.app/profile/lethalityjane.bsky.social/post/3knmna43n4c2u,not civic,,civic,left-leaning,civic,left-leaning,not civic,
146,https://bsky.app/profile/pbump.com/post/3knlocwi4ac24,not civic,,civic,left-leaning,civic,left-leaning,civic,left-leaning
147,https://bsky.app/profile/catsofyore.bsky.social/post/3knmnr6lu5s2q,not civic,,not civic,unclear,not civic,unclear,not civic,
148,https://bsky.app/profile/weirwoodtreehug.bsky.social/post/3knt66pbp6227,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
149,https://bsky.app/profile/encephalophagy.bsky.social/post/3knnot5qsut22,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
150,https://bsky.app/profile/joshuajfriedman.com/post/3knfcdvb6t22r,civic,unclear,civic,right-leaning,civic,right-leaning,civic,left-leaning
151,https://bsky.app/profile/cait.bsky.social/post/3knimvlvulb2a,not civic,,not civic,unclear,not civic,unclear,not civic,
152,https://bsky.app/profile/marisakabas.bsky.social/post/3knuhvjaew324,civic,unclear,not civic,unclear,not civic,unclear,civic,left-leaning
153,https://bsky.app/profile/joshuaerlich.bsky.social/post/3knsul6pqtk2x,not civic,,civic,right-leaning,not civic,unclear,civic,left-leaning
154,https://bsky.app/profile/rincewind.run/post/3knjqnssmzr2a,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
155,https://bsky.app/profile/andylevy.bsky.social/post/3knfcmr4ith2s,not civic,,civic,unclear,civic,left-leaning,not civic,
156,https://bsky.app/profile/gregpak.bsky.social/post/3knsu6pjy2227,not civic,,not civic,unclear,not civic,unclear,not civic,
157,https://bsky.app/profile/ygalanter.bsky.social/post/3knhrdekmas25,not civic,,civic,left-leaning,civic,left-leaning,not civic,
158,https://bsky.app/profile/markharris.bsky.social/post/3knf7uyywym2i,civic,left-leaning,civic,unclear,not civic,unclear,civic,left-leaning
159,https://bsky.app/profile/npr.org/post/3kntfv6if4m2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,moderate
160,https://bsky.app/profile/clairewillett.bsky.social/post/3knsa62ucpe2h,not civic,,not civic,unclear,civic,left-leaning,not civic,
161,https://bsky.app/profile/clancyny.bsky.social/post/3knh2gspnxk2a,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
162,https://bsky.app/profile/brendelbored.bsky.social/post/3knlzq5rffc2i,civic,unclear,civic,right-leaning,civic,left-leaning,not civic,
163,https://bsky.app/profile/golikehellmachine.bsky.social/post/3knh6zd4fv326,civic,right-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
164,https://bsky.app/profile/xoxogossipgita.bsky.social/post/3knhb6bowze2o,civic,left-leaning,civic,left-leaning,civic,moderate,civic,left-leaning
165,https://bsky.app/profile/mtsw.bsky.social/post/3kneabcfmam2r,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
166,https://bsky.app/profile/ryanlcooper.com/post/3kntlutpzn22q,civic,right-leaning,civic,moderate,civic,moderate,civic,left-leaning
167,https://bsky.app/profile/lindaholmes.bsky.social/post/3knswslt5yt2p,not civic,,not civic,unclear,not civic,unclear,civic,left-leaning
168,https://bsky.app/profile/ruemcclammyhand.bsky.social/post/3kntudijxkk2e,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
169,https://bsky.app/profile/secretaboutbox.bsky.social/post/3knlr7zguc22r,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
170,https://bsky.app/profile/nicholasgrossman.bsky.social/post/3knszz6in4i2a,civic,unclear,civic,left-leaning,civic,left-leaning,civic,moderate
171,https://bsky.app/profile/kendrawrites.bsky.social/post/3knsvqzy2ul2i,civic,left-leaning,civic,left-leaning,civic,left-leaning,not civic,
172,https://bsky.app/profile/fleerultra.bsky.social/post/3kntaqo47jp2c,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
173,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3kntldci2v32f,civic,right-leaning,not civic,unclear,civic,left-leaning,civic,left-leaning
174,https://bsky.app/profile/tylerking.bsky.social/post/3knhrouyyak2z,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
175,https://bsky.app/profile/thomaszimmer.bsky.social/post/3kntnykbten2f,civic,left-leaning,civic,right-leaning,civic,moderate,civic,left-leaning
176,https://bsky.app/profile/ellearmageddon.bsky.social/post/3kntztqkpds2q,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
177,https://bsky.app/profile/veryimportant.lawyer/post/3knu6g6t6ve2e,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
178,https://bsky.app/profile/lukeoneil47.bsky.social/post/3knst3eyt4324,not civic,,civic,left-leaning,civic,left-leaning,not civic,
179,https://bsky.app/profile/notalawyer.bsky.social/post/3knts7ztby224,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,moderate
180,https://bsky.app/profile/pixelatedboat.bsky.social/post/3knsryabkfl2r,not civic,,not civic,unclear,not civic,unclear,not civic,
181,https://bsky.app/profile/shengokai.bsky.social/post/3knjxmgdd4s2a,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
182,https://bsky.app/profile/mtsw.bsky.social/post/3knote5ud6422,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
183,https://bsky.app/profile/bencollins.bsky.social/post/3knqlj267ld2q,civic,left-leaning,civic,right-leaning,civic,left-leaning,civic,left-leaning
184,https://bsky.app/profile/brainnotonyet.bsky.social/post/3kntrgg7a5c2s,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
185,https://bsky.app/profile/rossignol.bsky.social/post/3knthnphit622,not civic,,civic,left-leaning,civic,left-leaning,not civic,
186,https://bsky.app/profile/ohnoshetwitnt.bsky.social/post/3knsnevtne32p,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
187,https://bsky.app/profile/pkrugman.bsky.social/post/3knsuujkgnd22,civic,left-leaning,not civic,unclear,not civic,unclear,civic,moderate
188,https://bsky.app/profile/tkingfisher.bsky.social/post/3kn73cleu5i2i,not civic,,civic,right-leaning,civic,right-leaning,not civic,
189,https://bsky.app/profile/c0nc0rdance.bsky.social/post/3kntxyhe53s2n,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
190,https://bsky.app/profile/lolgop.bsky.social/post/3kntt6tiegp25,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
191,https://bsky.app/profile/seantcollins.bsky.social/post/3kntpmgjm7k23,not civic,,not civic,unclear,not civic,unclear,not civic,
192,https://bsky.app/profile/emptywheel.bsky.social/post/3knsncyl6xk2h,civic,left-leaning,civic,right-leaning,civic,right-leaning,civic,right-leaning
193,https://bsky.app/profile/lauren.rotatingsandwiches.com/post/3knsrjsqvqx25,not civic,,not civic,unclear,not civic,unclear,not civic,
194,https://bsky.app/profile/raxkingisdead.bsky.social/post/3knsx4h5ims2v,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
195,https://bsky.app/profile/rincewind.run/post/3kntowvrkyg2g,not civic,,civic,moderate,civic,moderate,not civic,
196,https://bsky.app/profile/machete.gay/post/3kngazrt44n2y,civic,right-leaning,civic,unclear,civic,unclear,civic,right-leaning
197,https://bsky.app/profile/theabigailthorn.bsky.social/post/3kntvbg3a3322,not civic,,not civic,unclear,not civic,unclear,not civic,
198,https://bsky.app/profile/cait.bsky.social/post/3knt7cft32e24,not civic,,not civic,unclear,not civic,unclear,not civic,
